title,identifier,parents,Coding Operationalisations / Aspects (Qual),Developing operationalisations (measurement),Developing operationalisations (manipulation),Developing Change Objectives,Target,Specifier,Direction,Definition,References
Response efficacy,responseefficacy,eppmefficacy,"Operationalisations that measure perceived likelihood that a given consequence will occur when [target population] engage in [target behavior] where the consequence is alleviation of a risk

Operationalisations that measure the effectiveness of [target behavior] or [contrast behavior] in reducing a threat to [target population].",,,,,,,,
Skill,skill,behavior,Operationalisations that measure how competent [target population] are in [target behavior] or in [contrast behavior].,,,,,,,,
Automaticity,automaticity,behavior,Operationalisations that measure the degree to which [target behavior] is initiated without prior deliberation by [target population],,,,,,,,
Habit,habit,automaticity,Operationalisations that measure the degree to which [target population] consider [target behavior] to be automated behavior.,,,,,,,Habits are learned automaticies; these behaviors start out as deliberate behavior but automate over time as a function of their frequency,
Impulsivity,impulsivity,automaticity,Operationalisations that measure the degree to which [target population] engages in [target behavior] in responses to impulsive urges,,,,,,,,
Intention,intention,behavior,Operationalisations that measure the degree to which [target population] have a deliberate (reasoned) plan to engage in [target behavior].,,,,,,,,
Nonmodifiable determinants,nonmodifiable,behavior,Determinants that cannot be changed by psychological interventions,,,,,,,,
Age,age,nonmodifiable,Biological age of an individual,,,,,,,,
Sex,sex,nonmodifiable,Biological sex of an invidual,,,,,,,,
Gender,gender,nonmodifiable,Psychological gender of an individual,,,,,,,,
Social economic status,ses,nonmodifiable,Social economic status of an individual,,,,,,,,
Planning,planning,behavior,Operationalisations that measure the degree to which [target population] has made detailed and extensive plans to engage in [target behavior] or [contrast behavior],,,,,,,,
Action planning,actionplanning,planning,Operationalisations that measure the degree to which [target population] deliberately plans engaging in [target behavior] or [contrast behavior],,,,,,,,
Coping planning,copingplanning,planning,Operationalisations that measure the degree to which [target population] deliberately plans how to deal with potential obstacles when planning to engage in [target behavior] or [contrast behavior],,,,,,,,
Anticipated regret,anticipatedregret,outcomeexpectation,Operationalisations that measure the degree to which [target population] anticipates afterwards experiencing regret (i..e negative affect that would have been absent had one behaved differently) if engaging in [target behavior],,,,,,,,
Self-identity,selfidentity,intention,Operationalisations that measure the degree to which [target population] considers [target behavior] to be consistent with how they perceive themselves in terms of traits that are commonly socially evaluated,,,,,,,,
Willingness,willingness,behavior,Operationalisations that measure the degree to which [target population] is willing to engage in [target behavior] despite potentially having other intentions/plans,,,,,,,Openness to risk opportunity,
Prototype,prototype,willingness,Operationalisations that measure the degree to which [target population] considers the prototype of an individual engaging in [target behavior] desirable,,,,,,,,
Denial,denial,behavior,Operationalisations that measure evasive responses to whether a target behavior is problematic and responses where the possibility that target behavior may be problematic is rejected.,,,,,,,,
Personal norm,personalnorm,intention,"Operationalisations that measure normative beliefs not about other social referents, but held privately.",,,,,,,,
Expectation,expectation,intention,"Operationalisations that measure the expectation that one performs a behavior, either in general or in specific situations",,,,,,,,
Moral norm,moralnorm,intention,!!!!!!!!!!!!!!!!!!!!!!!!!TO BE PROVIDED!!!!!!!!!!!!!!!!!!!!,,,,,,,,
Social Support,socialsupport,intention,!!!!!!!!!!!!!!!!!!!!!!!!!TO BE PROVIDED!!!!!!!!!!!!!!!!!!!!,,,,,,,,
